# EPAC,CPAC,NAT,WPAC
-2.003651857376098633e-02,9.853383302688598633e-01,3.748633265495300293e-01,-9.972169399261474609e-01
-1.652491092681884766e-02,9.814512729644775391e-01,7.622397541999816895e-01,-7.376571297645568848e-01
7.520135492086410522e-02,7.651996016502380371e-01,5.478714108467102051e-01,2.652566134929656982e-01
-2.310030758380889893e-01,9.759454429149627686e-02,7.094430923461914062e-01,2.967245578765869141e-01
3.615709841251373291e-01,9.510657191276550293e-01,3.362546563148498535e-01,-1.706251353025436401e-01
3.506502807140350342e-01,1.151017069816589355e+00,8.104194700717926025e-02,6.580982804298400879e-01
4.918863475322723389e-01,1.469041705131530762e+00,-1.071860268712043762e-01,1.358716726303100586e+00
-1.386226341128349304e-02,1.589455604553222656e+00,2.344447374343872070e-01,-4.811426699161529541e-01
5.491911172866821289e-01,1.319872260093688965e+00,-8.479735851287841797e-01,1.399939060211181641e-01
2.037416100502014160e-01,4.161624610424041748e-01,-6.613793969154357910e-01,1.586199522018432617e+00
5.503488183021545410e-01,1.259519100189208984e+00,-3.395259082317352295e-01,-4.485487565398216248e-02
-3.000003695487976074e-01,1.357739329338073730e+00,-9.359394311904907227e-01,1.200361967086791992e+00
4.708167016506195068e-01,1.849634647369384766e+00,3.166493773460388184e-01,1.249695539474487305e+00
6.081166863441467285e-01,1.539802074432373047e+00,1.724876642227172852e+00,2.301029443740844727e+00
9.214215278625488281e-01,8.888735175132751465e-01,2.003074586391448975e-01,2.082175016403198242e+00
1.621196031570434570e+00,6.894237399101257324e-01,1.261830687522888184e+00,2.101461648941040039e+00
8.038791418075561523e-01,7.031745314598083496e-01,5.547504425048828125e-01,-1.134752929210662842e-01
1.262124657630920410e+00,9.624341726303100586e-01,-4.381278902292251587e-02,1.712781906127929688e+00
4.182969629764556885e-01,8.791768550872802734e-01,8.577129244804382324e-02,1.621727824211120605e+00
7.198707461357116699e-01,9.018301963806152344e-01,-2.399516701698303223e-01,-8.759037405252456665e-02
5.446376204490661621e-01,1.048784375190734863e+00,-4.667023122310638428e-01,1.856731772422790527e-01
1.121004343032836914e+00,1.191809773445129395e+00,-1.801039427518844604e-01,7.517915368080139160e-01
1.060843944549560547e+00,1.488309621810913086e+00,-3.650379925966262817e-02,-1.805637218058109283e-02
1.308585882186889648e+00,1.450108170509338379e+00,3.561179041862487793e-01,4.980178475379943848e-01
6.134420037269592285e-01,1.084854245185852051e+00,-4.667023122310638428e-01,1.165452077984809875e-01
-4.889711439609527588e-01,4.101438820362091064e-01,4.648928642272949219e-01,-3.642024705186486244e-03
-2.943663597106933594e-01,1.013143807649612427e-01,6.923314332962036133e-01,-5.893517732620239258e-01
-1.082316875457763672e+00,1.354615837335586548e-01,9.778979420661926270e-01,1.423885822296142578e+00
-1.268277764320373535e+00,-3.614074587821960449e-01,1.272665143013000488e+00,-1.488319873809814453e+00
-2.021498203277587891e+00,-5.209422111511230469e-01,3.843220174312591553e-01,-7.490262389183044434e-01
-2.076333284378051758e+00,-9.750958681106567383e-01,-3.771027028560638428e-01,-3.749637305736541748e-01
-1.818944096565246582e+00,-1.793082356452941895e+00,-6.232866644859313965e-01,-1.870300054550170898e+00
-1.095591545104980469e+00,-1.696032404899597168e+00,-2.953280210494995117e-01,-1.541307806968688965e+00
-5.680787563323974609e-01,-1.539674043655395508e+00,-1.398555517196655273e+00,-1.143187522888183594e+00
-1.547778487205505371e+00,-1.999094009399414062e+00,-1.138011455535888672e+00,-6.515771150588989258e-01
-7.389126420021057129e-01,-2.103416442871093750e+00,-4.282656311988830566e-01,1.048716157674789429e-01
-9.597194194793701172e-01,-1.613903522491455078e+00,-4.137336313724517822e-01,-8.209964632987976074e-01
-8.920727372169494629e-01,-1.401288032531738281e+00,-4.049628674983978271e-01,-9.438229203224182129e-01
-8.081028461456298828e-01,-1.625230193138122559e+00,-1.642589688301086426e+00,-9.025085568428039551e-01
-3.480823636054992676e-01,-1.471003532409667969e+00,-1.072230577468872070e+00,1.009422659873962402e+00
-3.334956765174865723e-01,-7.965022325515747070e-01,-1.385915279388427734e+00,-1.371279358863830566e+00
5.502716302871704102e-01,-2.847956418991088867e-01,-1.447568655014038086e+00,-9.041327238082885742e-01
7.105321884155273438e-01,9.028027206659317017e-02,-1.336816072463989258e+00,-2.993391752243041992e-01
1.865308731794357300e-01,-1.986962109804153442e-01,-1.025539040565490723e+00,-1.031121134757995605e+00
1.692043691873550415e-01,-9.357965737581253052e-02,-1.131218433380126953e+00,-8.027247190475463867e-01
1.070373505353927612e-01,-1.025418043136596680e+00,-8.502092957496643066e-01,-8.019126653671264648e-01
-2.944435477256774902e-01,-9.000723361968994141e-01,-9.699047207832336426e-01,-4.032848775386810303e-01
-3.506678342819213867e-01,-1.235484004020690918e+00,-1.600025653839111328e+00,1.378105044364929199e+00
-6.679087281227111816e-01,-1.301730394363403320e+00,3.618791103363037109e-01,-1.848364621400833130e-01
-6.248819231986999512e-01,-6.694010496139526367e-01,-5.808085203170776367e-01,2.011026144027709961e-01
-2.999231815338134766e-01,-1.904624253511428833e-01,4.321314096450805664e-01,7.223538160324096680e-01
5.905586481094360352e-01,-2.868854403495788574e-01,2.501805722713470459e-01,6.778926253318786621e-01
-2.344760894775390625e-01,-1.546433866024017334e-01,-1.242976635694503784e-01,2.042506588622927666e-03
8.384530991315841675e-02,-2.395307570695877075e-01,-3.435409814119338989e-02,-2.777176499366760254e-01
4.434956312179565430e-01,1.149510312825441360e-02,-3.949022591114044189e-01,9.441614151000976562e-02
9.008921384811401367e-01,5.685479845851659775e-03,-1.009948849678039551e-01,-4.275456666946411133e-01
6.124772429466247559e-01,-2.253201603889465332e-01,-1.019003987312316895e+00,-1.582723617553710938e+00
5.617693439126014709e-02,-5.596869587898254395e-01,-4.581035077571868896e-01,-1.044621825218200684e+00
-2.879605591297149658e-01,-8.215797543525695801e-01,-2.336745411157608032e-01,-1.427312612533569336e+00
-6.893642544746398926e-01,-9.088912606239318848e-01,-8.098808526992797852e-01,-1.326209187507629395e+00
-1.296332001686096191e+00,-9.954086542129516602e-01,-3.442552387714385986e-01,-1.514509320259094238e+00
-1.200631141662597656e+00,-6.862447857856750488e-01,2.490627169609069824e-01,-1.880450963973999023e+00
-4.140697121620178223e-01,-1.062616348266601562e+00,-1.131192073225975037e-01,-2.472961902618408203e+00
-2.054956853389739990e-01,-9.212210178375244141e-01,-1.631642878055572510e-01,-1.307632923126220703e+00
2.758241817355155945e-02,-1.051582336425781250e+00,-3.074523508548736572e-01,-4.620589017868041992e-01
1.675915360450744629e+00,4.443328678607940674e-01,1.015931069850921631e-01,-1.123596191406250000e+00
6.332381963729858398e-01,-8.566903881728649139e-03,-6.115922927856445312e-01,-4.184098243713378906e-01
1.044134855270385742e+00,-7.061396241188049316e-01,-7.955208420753479004e-01,-1.220334768295288086e+00
1.097079038619995117e+00,-7.319276332855224609e-01,-1.062857866287231445e+00,-3.202501237392425537e-01
1.208524346351623535e+00,-8.944186568260192871e-02,-6.765133142471313477e-01,-1.594590842723846436e-01
1.091908097267150879e+00,-4.573707282543182373e-01,-1.328819155693054199e+00,-1.825017482042312622e-01
1.972200572490692139e-01,-5.563433170318603516e-01,-3.481247127056121826e-01,-7.790729999542236328e-01
-5.766069293022155762e-01,-1.187460541725158691e+00,9.118854254484176636e-02,-1.313317418098449707e+00
7.863393984735012054e-03,-3.257137835025787354e-01,3.909431099891662598e-01,-2.032613754272460938e+00
-1.593699574470520020e+00,-1.429709196090698242e+00,2.824524790048599243e-02,-1.092940330505371094e+00
-3.390139341354370117e-01,-1.197533369064331055e+00,3.941246569156646729e-01,-5.313898921012878418e-01
-5.649144649505615234e-01,-4.618010818958282471e-01,-9.494395852088928223e-01,-5.064185261726379395e-01
-7.828655838966369629e-01,-1.192423030734062195e-01,-1.611461997032165527e+00,-1.397671818733215332e+00
1.114346645772457123e-02,-1.106741577386856079e-01,-1.349284291267395020e+00,2.559270709753036499e-02
-2.156060189008712769e-01,-5.175985693931579590e-01,-1.392278313636779785e+00,-1.086951255798339844e+00
-9.941427409648895264e-02,-3.052756190299987793e-01,-1.411539673805236816e+00,-9.367172718048095703e-01
-8.868651092052459717e-02,8.651864528656005859e-02,-6.533825397491455078e-01,3.706327825784683228e-02
1.106261387467384338e-01,1.494213938713073730e-01,-2.344484329223632812e-01,3.082966208457946777e-01
-4.306244254112243652e-01,5.131288170814514160e-01,-5.906112194061279297e-01,-5.564627051353454590e-01
1.355161070823669434e-01,6.938122510910034180e-01,-3.256818056106567383e-01,-1.292092651128768921e-01
-7.698611021041870117e-01,4.222228825092315674e-01,3.126939237117767334e-01,5.888782069087028503e-02
-3.120401501655578613e-01,3.745032474398612976e-02,4.289498329162597656e-01,3.414902389049530029e-01
-1.219888925552368164e-01,-4.232653081417083740e-01,-3.684775158762931824e-02,-8.707361221313476562e-01
-5.796940922737121582e-01,-8.357067108154296875e-01,-4.595653116703033447e-01,1.517689973115921021e-01
-6.259623765945434570e-01,-5.386218428611755371e-01,-8.704165220260620117e-01,2.128777056932449341e-01
5.582963302731513977e-02,-2.442954778671264648e-01,-1.047783643007278442e-01,2.350067794322967529e-01
-3.871363773941993713e-02,6.938234716653823853e-02,-5.288717150688171387e-01,-1.511667013168334961e+00
-1.877061128616333008e-01,9.634067118167877197e-02,-1.364934086799621582e+00,-1.607787162065505981e-01
-3.925755918025970459e-01,2.035582251846790314e-02,-9.317260384559631348e-01,-2.736572623252868652e-01
-2.256777733564376831e-01,-4.698258936405181885e-01,-6.446977257728576660e-01,1.015218049287796021e-01
-5.813534259796142578e-01,2.202653586864471436e-01,-1.718490868806838989e-01,-1.001987814903259277e+00
-3.272442519664764404e-01,-4.097652435302734375e-01,4.231026470661163330e-01,9.329953789710998535e-02
5.714166164398193359e-02,2.747253477573394775e-01,-3.123536705970764160e-01,6.353601813316345215e-01
-2.323941327631473541e-02,-8.802080899477005005e-02,-7.511246204376220703e-02,3.104283213615417480e-01
1.438494957983493805e-02,2.348521053791046143e-01,-1.773523241281509399e-01,1.013178467750549316e+00
-3.060202598571777344e-01,3.143478035926818848e-01,-4.419377446174621582e-01,3.158083260059356689e-01
-4.697151780128479004e-01,-3.414596244692802429e-02,2.377122789621353149e-01,8.325009793043136597e-02
-9.116373658180236816e-01,1.993786357343196869e-02,1.715014427900314331e-01,5.188272595405578613e-01
-1.675626039505004883e-01,1.852822303771972656e-01,-2.756367325782775879e-01,-1.477356791496276855e+00
-3.982096016407012939e-01,-1.362950056791305542e-01,-1.286082983016967773e+00,1.270006895065307617e-01
-2.960256934165954590e-01,-1.032523393630981445e+00,-7.301698923110961914e-01,5.272525548934936523e-01
2.792971953749656677e-02,-7.863040566444396973e-01,-2.084800302982330322e-01,4.904139786958694458e-02
-1.410133093595504761e-01,3.116728663444519043e-01,1.207948196679353714e-02,8.884233236312866211e-01
-7.169554233551025391e-01,-7.765543460845947266e-02,-6.466754674911499023e-01,7.745296955108642578e-01
1.855275630950927734e-01,7.789503931999206543e-01,-4.637787342071533203e-01,7.472330331802368164e-02
-1.853521764278411865e-01,-2.703343033790588379e-01,-1.576980829238891602e+00,1.139059588313102722e-01
1.660014837980270386e-01,-1.996157169342041016e-01,-7.319756746292114258e-01,1.425205469131469727e+00
-2.995391376316547394e-02,7.113777846097946167e-02,-7.692945003509521484e-01,-1.433190852403640747e-01
-1.521288137882947922e-02,-2.821207344532012939e-01,-1.126231193542480469e+00,5.765861868858337402e-01
-8.414438366889953613e-01,-1.123041957616806030e-01,-2.655761241912841797e-01,1.983618587255477905e-01
-7.520329356193542480e-01,-1.734515130519866943e-01,-4.011793732643127441e-01,2.305497042834758759e-02
-7.480968236923217773e-01,-9.135723710060119629e-01,-8.892478942871093750e-01,-5.675272345542907715e-01
-1.194341063499450684e+00,-5.695507526397705078e-01,-2.234419584274291992e-01,-4.765747487545013428e-01
-9.408879280090332031e-01,-9.175429940223693848e-01,-1.210241556167602539e+00,2.234440483152866364e-02
-1.051522850990295410e+00,-1.109803915023803711e+00,-1.306032299995422363e+00,-1.787772774696350098e+00
-1.306712508201599121e+00,-8.393011689186096191e-01,-1.946041822433471680e+00,-6.566525697708129883e-01
-1.242152929306030273e+00,-9.072611927986145020e-01,-4.643806517124176025e-01,-1.275149941444396973e+00
-1.362975358963012695e+00,-7.211025357246398926e-01,-1.843887925148010254e+00,-5.372774004936218262e-01
-1.133949160575866699e+00,-9.689100980758666992e-01,-8.248428106307983398e-01,-1.773967504501342773e+00
-1.210394144058227539e+00,-5.793728232383728027e-01,-1.711638212203979492e+00,-1.263273239135742188e+00
-3.880992531776428223e-01,-5.973032116889953613e-01,-8.455659151077270508e-01,-9.684897065162658691e-01
-9.557061195373535156e-01,-8.855273723602294922e-01,-1.033707976341247559e+00,-1.936677843332290649e-01
3.957609236240386963e-01,-5.400429368019104004e-01,-1.152543544769287109e+00,-3.857237398624420166e-01
-6.059732437133789062e-01,-1.390839099884033203e+00,-1.528741478919982910e+00,-1.066741570830345154e-01
-9.046527743339538574e-01,-8.344528675079345703e-01,-1.332516670227050781e+00,2.306418716907501221e-01
-1.260444164276123047e+00,-1.094046831130981445e+00,-1.220130205154418945e+00,-1.326513648033142090e+00
-7.027932405471801758e-01,-5.647024512290954590e-01,-1.211703300476074219e+00,-1.089996576309204102e+00
-1.210627555847167969e-01,-7.728875875473022461e-01,-1.000000596046447754e+00,2.075992226600646973e-01
-7.779647707939147949e-01,-5.647860765457153320e-01,-5.612892508506774902e-01,-1.469439029693603516e+00
-3.752104938030242920e-01,-4.727934002876281738e-01,-2.788183093070983887e-01,4.487951099872589111e-02
-4.969976544380187988e-01,-3.116285800933837891e-01,3.359966874122619629e-01,7.928013801574707031e-01
3.946032524108886719e-01,3.746591806411743164e-01,4.244784712791442871e-01,1.699281096458435059e+00
1.173446893692016602e+00,4.567462503910064697e-01,3.374584913253784180e-01,6.330254673957824707e-01
1.761891961097717285e+00,1.258683204650878906e+00,4.815745651721954346e-01,2.847464382648468018e-01
1.794847011566162109e+00,1.295129179954528809e+00,5.963090807199478149e-02,4.650272428989410400e-01
1.194516539573669434e+00,8.285620808601379395e-01,-1.752026230096817017e-01,7.868216931819915771e-02
1.435814142227172852e+00,1.166648745536804199e+00,-8.494353890419006348e-01,1.068805694580078125e+00
1.265713334083557129e+00,1.449314117431640625e+00,-2.660920619964599609e-01,6.777911186218261719e-01
8.625731468200683594e-01,1.666318178176879883e+00,-3.954181671142578125e-01,1.328670024871826172e+00
4.666490852832794189e-01,1.502603769302368164e+00,-1.107657670974731445e+00,5.598371028900146484e-01
-2.948294281959533691e-01,1.261316299438476562e+00,-7.502050995826721191e-01,-7.611058354377746582e-01
-1.529759317636489868e-01,4.136547148227691650e-01,3.658345639705657959e-01,2.823195420205593109e-02
-5.437676310539245605e-01,6.766341924667358398e-01,1.164954155683517456e-02,1.428555369377136230e+00
-5.893431976437568665e-02,3.776266872882843018e-01,5.319635868072509766e-01,-1.616922914981842041e-01
-1.818019747734069824e-01,-4.149897396564483643e-01,8.502056002616882324e-01,-1.115372683852910995e-02
-7.530362606048583984e-01,-1.676836907863616943e-01,5.180598795413970947e-02,5.623748302459716797e-01
-1.285104453563690186e-01,-2.740541100502014160e-01,-1.619604527950286865e-01,-2.259477972984313965e-01
-3.292894661426544189e-01,-4.234324991703033447e-01,-3.597331047058105469e-01,2.729713320732116699e-01
-3.390525281429290771e-01,-1.360860317945480347e-01,-3.914627134799957275e-01,-8.572353124618530273e-01
-7.681631445884704590e-01,-1.985178142786026001e-02,-6.126837804913520813e-02,-6.719805002212524414e-01
-2.543494701385498047e-01,4.850420355796813965e-01,-5.473328009247779846e-02,1.500728607177734375e+00
2.197174876928329468e-01,6.192066669464111328e-01,-8.535628318786621094e-01,1.004651665687561035e+00
1.265248507261276245e-01,4.657323360443115234e-01,-2.341044843196868896e-01,1.948791384696960449e+00
5.758947730064392090e-01,4.704134762287139893e-01,9.565992653369903564e-02,3.046516329050064087e-02
8.724905848503112793e-01,3.297704756259918213e-01,5.893176794052124023e-01,6.503835916519165039e-01
1.068754673004150391e+00,5.213208198547363281e-01,4.538863897323608398e-01,1.775210261344909668e+00
2.515149116516113281e-01,5.909109115600585938e-01,-2.963598668575286865e-01,1.041610538959503174e-01
3.716427385807037354e-01,6.467083692550659180e-01,1.507783085107803345e-01,1.056726098060607910e+00
4.495541155338287354e-01,6.231772899627685547e-01,-2.952420413494110107e-01,-2.337640374898910522e-01
1.078401923179626465e+00,1.186418175697326660e+00,-6.910452842712402344e-01,8.298523426055908203e-01
6.095444560050964355e-01,8.066192865371704102e-01,-6.103024482727050781e-01,4.574140310287475586e-01
6.270253062248229980e-01,5.252078175544738770e-01,-5.378144979476928711e-01,7.150450944900512695e-01
1.495625227689743042e-01,4.917293488979339600e-01,-1.552732110023498535e+00,8.077232837677001953e-01
-4.826039373874664307e-01,7.096946835517883301e-01,-7.414343357086181641e-01,-1.080353140830993652e+00
-5.247431993484497070e-01,1.386380642652511597e-01,-9.971629977226257324e-01,6.051103472709655762e-01
-9.747305512428283691e-01,-1.579758524894714355e-02,-3.765007853507995605e-01,-1.602711677551269531e-01
-1.494294047355651855e+00,-5.745244622230529785e-01,-8.797032237052917480e-01,-7.528835535049438477e-01
-2.283170700073242188e+00,-8.127608299255371094e-01,-8.087366819381713867e-02,-1.403965473175048828e+00
-1.864865064620971680e+00,-7.759386897087097168e-01,-3.795103728771209717e-01,-4.378996491432189941e-01
-2.010423183441162109e+00,-1.100901365280151367e+00,-9.478058218955993652e-01,-9.274799227714538574e-01
-1.131247878074645996e+00,-6.255154013633728027e-01,-1.281267642974853516e+00,-1.214751720428466797e+00
-1.231425166130065918e+00,-1.108550071716308594e+00,-1.696246266365051270e+00,-7.008092403411865234e-01
-1.933746576309204102e+00,-9.528604745864868164e-01,-1.552904129028320312e+00,-9.388396143913269043e-02
-1.109946727752685547e+00,-8.724870681762695312e-01,-2.002020120620727539e+00,2.769302129745483398e-01
-1.311844825744628906e+00,-1.043766498565673828e+00,-2.172104597091674805e+00,-1.962775111198425293e+00
-8.951212763786315918e-01,-1.182110667228698730e+00,-1.724246330559253693e-02,1.285426974296569824e+00
-9.633853435516357422e-01,-8.598647117614746094e-01,-7.258704900741577148e-01,-2.939600944519042969e+00
-8.251978158950805664e-01,-9.255260229110717773e-01,-8.905377388000488281e-01,-1.052742600440979004e+00
-6.409735083580017090e-01,-1.353933453559875488e+00,-4.797725081443786621e-01,-1.143999576568603516e+00
-1.351745963096618652e+00,-8.637517690658569336e-01,-2.236999124288558960e-01,-1.251295208930969238e+00
-1.260444164276123047e+00,-1.125853538513183594e+00,-9.480637907981872559e-01,-6.650778651237487793e-01
-1.064450144767761230e+00,-8.427284359931945801e-01,1.077842488884925842e-01,-3.277618288993835449e-01
-1.019532442092895508e+00,-9.905603528022766113e-01,-3.478667438030242920e-01,-1.136386394500732422e+00
-1.332026958465576172e+00,-1.372992277145385742e+00,-6.482232213020324707e-01,-1.365594863891601562e+00
-1.334187865257263184e+00,-2.543317794799804688e+00,-5.839040875434875488e-01,-6.233574748039245605e-01
-1.748171687126159668e+00,-2.572825670242309570e+00,-1.629923135042190552e-01,-1.887049078941345215e+00
-1.360852956771850586e+00,-2.154574632644653320e+00,-5.069447755813598633e-01,-9.077870845794677734e-01
-1.635993242263793945e+00,-1.123053193092346191e+00,5.182055234909057617e-01,-2.532750844955444336e+00
-1.009846568107604980e+00,-1.005314230918884277e+00,-2.878470420837402344e-01,-1.789092421531677246e+00
-6.726166009902954102e-01,-9.730060696601867676e-01,3.741754293441772461e-01,-1.140142321586608887e+00
-7.155276536941528320e-01,-8.419343233108520508e-01,3.331590890884399414e-01,-1.891617059707641602e+00
-7.897344827651977539e-01,-1.071309924125671387e+00,-6.094425916671752930e-01,-1.057513594627380371e+00
-7.186147570610046387e-01,-1.139395356178283691e+00,-1.587729334831237793e+00,-3.544588088989257812e-01
-3.622445762157440186e-01,-7.402868270874023438e-01,-1.447138786315917969e+00,-4.231807589530944824e-01
2.791061103343963623e-01,-7.483952045440673828e-01,-1.403972744941711426e+00,-1.265404939651489258e+00
-6.163923144340515137e-01,-7.712157368659973145e-01,-1.619372963905334473e+00,-1.104715466499328613e+00
-4.206684529781341553e-01,-1.047026515007019043e+00,-1.667440295219421387e+00,-6.106687784194946289e-01
-1.230499029159545898e+00,-1.117410778999328613e+00,-1.068963050842285156e+00,-5.876261591911315918e-01
-9.875035285949707031e-01,-9.480121731758117676e-01,-1.014360547065734863e+00,-1.039241790771484375e+00
-1.003440856933593750e+00,-5.965090990066528320e-01,-1.078335762023925781e+00,-6.291435360908508301e-01
-4.016826152801513672e-01,2.896576747298240662e-02,-1.200094938278198242e+00,-8.841353654861450195e-01
2.363108098506927490e-01,1.352526098489761353e-01,-7.776353359222412109e-01,3.661570250988006592e-01
6.079623103141784668e-01,3.001066297292709351e-02,-1.135087966918945312e+00,5.046253278851509094e-02
1.418796300888061523e+00,8.816010355949401855e-01,-8.947511315345764160e-01,4.361985623836517334e-01
1.413470983505249023e+00,9.668227434158325195e-01,-2.893088459968566895e-01,4.006702601909637451e-01
1.653610944747924805e+00,1.241254329681396484e+00,-1.526737362146377563e-01,-4.541411697864532471e-01
1.617761611938476562e+00,1.308879971504211426e+00,-3.194643184542655945e-02,-1.149684190750122070e+00
1.756412267684936523e+00,1.290406227111816406e+00,-1.671197414398193359e-01,-1.790504157543182373e-01
9.666865468025207520e-01,8.280187249183654785e-01,-7.409183979034423828e-01,5.470468997955322266e-01
1.202311515808105469e+00,1.192687511444091797e+00,-1.069280654191970825e-01,9.599875211715698242e-01
1.106649160385131836e+00,1.308587431907653809e+00,-4.545780122280120850e-01,1.913577020168304443e-01
7.783331871032714844e-01,1.575579285621643066e+00,4.368607401847839355e-01,2.540084123611450195e+00
5.636620521545410156e-01,1.398615717887878418e+00,1.096217632293701172e+00,1.090731739997863770e+00
5.836511850357055664e-01,7.846764326095581055e-01,2.612360000610351562e+00,8.772572875022888184e-01
6.339713931083679199e-01,4.106454253196716309e-01,2.121109962463378906e+00,1.012172773480415344e-01
2.037030160427093506e-01,6.288615465164184570e-01,1.205250501632690430e+00,-1.945813745260238647e-01
3.408486545085906982e-01,3.635832965373992920e-01,1.133708357810974121e+00,-3.721214532852172852e-01
2.809969782829284668e-01,4.426610469818115234e-01,8.915658593177795410e-01,4.727419912815093994e-01
1.793147176504135132e-01,1.963581293821334839e-01,4.113222956657409668e-01,-1.185009479522705078e+00
1.551193594932556152e-01,-4.828243851661682129e-01,4.710872017312794924e-04,-4.271396398544311523e-01
3.304295837879180908e-01,-4.317386448383331299e-02,-7.677466869354248047e-01,-7.911526560783386230e-01
2.075214870274066925e-02,-1.146865561604499817e-01,-7.759155631065368652e-01,9.583727270364761353e-02
-1.904845237731933594e-01,-4.222622215747833252e-01,-1.239537075161933899e-01,9.761275053024291992e-01
-4.091303050518035889e-01,9.241909980773925781e-01,2.010813504457473755e-01,8.668017983436584473e-01
-3.327442100271582603e-03,7.578017115592956543e-01,-3.364303410053253174e-01,1.485502123832702637e+00
2.468070387840270996e-01,3.798418939113616943e-01,-1.466281991451978683e-02,1.001006737351417542e-01
3.954136073589324951e-01,2.694590687751770020e-01,-2.980796396732330322e-01,-4.928162693977355957e-01
8.002498745918273926e-02,6.722456216812133789e-01,-8.631075024604797363e-01,-1.088575482368469238e+00
-4.937947690486907959e-01,4.256919324398040771e-01,-4.605111777782440186e-01,2.680988609790802002e-01
8.068100363016128540e-02,5.650923028588294983e-02,-8.436741828918457031e-01,4.714223444461822510e-01
-1.122644394636154175e-01,1.469972431659698486e-01,-9.648314714431762695e-01,-6.734016537666320801e-01
-1.398942321538925171e-01,-3.770809173583984375e-01,-8.419544100761413574e-01,-8.100334405899047852e-01
3.239080309867858887e-01,6.520276516675949097e-02,-7.821066975593566895e-01,4.180283546447753906e-01
2.533671855926513672e-01,-5.408370494842529297e-01,-7.556223869323730469e-01,-7.327846884727478027e-01
-8.667987585067749023e-02,1.954386234283447266e-01,-4.277496933937072754e-01,-1.239824533462524414e+00
-4.161535203456878662e-01,4.174999296665191650e-01,3.084805011749267578e-01,-1.167235970497131348e-01
-5.617887377738952637e-01,-6.733186542987823486e-02,7.528670430183410645e-01,1.286248415708541870e-01
